A2WC012E v68 AF Correction 16-bit RAM literal trace
target float: 0xFFFFB538
target mirror: 0xFFFFB330

16-bit sign-extended refs in FFFFB000-FFFFB8FF: 1843
pc=0x018496 op=903E literal=0x018516 word=B149 value=0xFFFFB149 -> r0
pc=0x0184A8 op=9036 literal=0x018518 word=B148 value=0xFFFFB148 -> r0
pc=0x0184CC op=9023 literal=0x018516 word=B149 value=0xFFFFB149 -> r0
pc=0x0184DE op=901B literal=0x018518 word=B148 value=0xFFFFB148 -> r0
pc=0x01850C op=9203 literal=0x018516 word=B149 value=0xFFFFB149 -> r2
pc=0x018528 op=9187 literal=0x01863A word=B149 value=0xFFFFB149 -> r1
pc=0x018584 op=9059 literal=0x01863A word=B149 value=0xFFFFB149 -> r0
pc=0x018596 op=9051 literal=0x01863C word=B148 value=0xFFFFB148 -> r0
pc=0x0185C0 op=903B literal=0x01863A word=B149 value=0xFFFFB149 -> r0
pc=0x0185D2 op=9033 literal=0x01863C word=B148 value=0xFFFFB148 -> r0
pc=0x018606 op=9218 literal=0x01863A word=B149 value=0xFFFFB149 -> r2
pc=0x018610 op=9113 literal=0x01863A word=B149 value=0xFFFFB149 -> r1
pc=0x01878C op=9233 literal=0x0187F6 word=B134 value=0xFFFFB134 -> r2
pc=0x018790 op=9132 literal=0x0187F8 word=B130 value=0xFFFFB130 -> r1
pc=0x018798 op=922F literal=0x0187FA word=B13C value=0xFFFFB13C -> r2
pc=0x01879C op=912E literal=0x0187FC word=B138 value=0xFFFFB138 -> r1
pc=0x0187A2 op=902C literal=0x0187FE word=B148 value=0xFFFFB148 -> r0
pc=0x0187BE op=901E literal=0x0187FE word=B148 value=0xFFFFB148 -> r0
pc=0x0187DA op=9010 literal=0x0187FE word=B148 value=0xFFFFB148 -> r0
pc=0x018888 op=943B literal=0x018902 word=B163 value=0xFFFFB163 -> r4
pc=0x01892C op=9584 literal=0x018A38 word=B164 value=0xFFFFB164 -> r5
pc=0x018930 op=9483 literal=0x018A3A word=B163 value=0xFFFFB163 -> r4
pc=0x0189E2 op=942B literal=0x018A3C word=B162 value=0xFFFFB162 -> r4
pc=0x018ADC op=9341 literal=0x018B62 word=B204 value=0xFFFFB204 -> r3
pc=0x018AE0 op=9240 literal=0x018B64 word=B304 value=0xFFFFB304 -> r2
